day,date,park,title,cc,rating,underwriter,park_address,location
Sat,2018-08-25T00:00:00.000,Wolfe Playground Park,Cars 3,Y,G,,3325 E. 108th St.,"3325 E. 108th St.
Chicago, IL 
(41.699136, -87.543168)"
Wed,2018-07-11T00:00:00.000,"Bartelme, Mary Park",The Princess Bride,Y,PG,The Mary Bartelme Park Advisory Council,115 S. Sangamon St.,"115 S. Sangamon St.
Chicago, IL 
(41.879642, -87.650804)"
Sat,2018-08-18T00:00:00.000,Churchill Field Playlot Park,Roman Holiday,Y,NR,The Bucktown Community Organization,1825 N. Damen Ave.,"1825 N. Damen Ave.
Chicago, IL 
(41.914792, -87.677554)"
Fri,2018-08-17T00:00:00.000,Revere Park,Spark: A Space Tail,Y,PG,,2509 W. Irving Park Rd.,"2509 W. Irving Park Rd.
Chicago, IL 
(41.95398, -87.691084)"
Tue,2018-08-07T00:00:00.000,Cragin Park,Selena,Y,PG,,2611 N. Lockwood Ave.,"2611 N. Lockwood Ave.
Chicago, IL 
(41.9282, -87.758743)"
Tue,2018-08-21T00:00:00.000,McKinley Park,A Dog's Purpose,Y,PG,,2210 W. Pershing Rd.,"2210 W. Pershing Rd.
Chicago, IL 
(41.823114, -87.679668)"
Thu,2018-08-23T00:00:00.000,DuSable Museum of African American History,Elevator to the Gallows (Ascenseur pour l'Echafaud),Y,NR,The Cultural Services at the Consulate General of France in Chicago,740 E. 56th Pl.,"740 E. 56th Pl.
Chicago, IL 
(41.793186, -87.605804)"
Sun,2018-08-12T00:00:00.000,Walsh Playground Park,The Secret Life of Pets,Y,PG,The Wicker Park Bucktown Chamber of Commerce,1722 N. Ashland Ave.,"1722 N. Ashland Ave.
Chicago, IL 
(41.912858, -87.667823)"
Tue,2018-07-10T00:00:00.000,Chicago History Museum,Back to the Future,Y,PG,The Chicago History Museum,1601 N. Clark St.,"1601 N. Clark St.
Chicago, IL 
(41.911789, -87.631947)"
Tue,2018-08-21T00:00:00.000,A. Montgomery Ward Park,Coco,Y,PG,The River North Residents Association,630 N. Kingsbury St.,"630 N. Kingsbury St.
Chicago, IL 
(41.892852, -87.640929)"
Mon,2018-07-23T00:00:00.000,Harold Washington Playlot Park,The Wiz,Y,G,,5200 S. Hyde Park Blvd.,"5200 S. Hyde Park Blvd.
Chicago, IL 
(41.801011, -87.584541)"
Wed,2018-08-01T00:00:00.000,Ridge Park,Jumanji: Welcome to the Jungle,Y,PG-13,,1817 W. 96th Street,"1817 W. 96th Street
Chicago, IL 
(41.719328, -87.668116)"
Fri,2018-06-29T00:00:00.000,Owens Park,Black Panther,Y,PG-13,,8800 S. Clyde,"8800 S. Clyde
Chicago, IL 
(41.734405, -87.573238)"
Fri,2018-08-17T00:00:00.000,Maggie Daley Park,Coco,Y,PG,The Museum of Science and Industry,337 E. Randolph St.,"337 E. Randolph St.
Chicago, IL 
(41.884351, -87.620142)"
Fri,2018-08-10T00:00:00.000,Galewood Park,Jumanji: Welcome to the Jungle,Y,PG-13,,5729 W. Bloomingdale Ave.,"5729 W. Bloomingdale Ave.
Chicago, IL 
(41.912565, -87.769515)"
Wed,2018-08-01T00:00:00.000,Harrison Park,Looking for a Boyfriend … for My Wife / Se busca novio … para mi mujer,Y,NR,The International Latino Cultural Center,1824 S. Wood St.,"1824 S. Wood St.
Chicago, IL 
(41.856825, -87.671063)"
Fri,2018-07-06T00:00:00.000,Holstein Park,Love Songs (Les Chansons d'Amour),Y,NR,The Cultural Services at the Consulate General of France in Chicago,2200 N. Oakley Ave.,"2200 N. Oakley Ave.
Chicago, IL 
(41.922402, -87.685509)"
Mon,2018-08-20T00:00:00.000,South Shore Cultural Center,Wonder Woman,Y,PG-13,,7059 S. South Shore Drive,"7059 S. South Shore Drive
Chicago, IL 
(41.766242, -87.562783)"
Wed,2018-07-18T00:00:00.000,Brainerd Park,Jumanji: Welcome to the Jungle,Y,PG-13,,1246 W. 92nd St.,"1246 W. 92nd St.
Chicago, IL 
(41.726781, -87.65489)"
Wed,2018-08-08T00:00:00.000,Sherman Park,Jumanji: Welcome to the Jungle,Y,PG-13,,1301 W. 52nd St.,"1301 W. 52nd St.
Chicago, IL 
(41.799637, -87.657436)"
Sun,2018-08-05T00:00:00.000,Chippewa Park,The Boss Baby,Y,PG,JCC Chicago,6748 N. Sacramento Ave.,"6748 N. Sacramento Ave.
Chicago, IL 
(42.004271, -87.70461)"
Mon,2018-07-16T00:00:00.000,Skinner Park,Cars 3,Y,G,The Museum of Science and Industry,1331 W. Monroe St.,"1331 W. Monroe St.
Chicago, IL 
(41.880283, -87.659439)"
Mon,2018-06-25T00:00:00.000,Harold Washington Playlot Park,A Raisin in the Sun,Y,NR,,5200 S. Hyde Park Blvd.,"5200 S. Hyde Park Blvd.
Chicago, IL 
(41.801011, -87.584541)"
Sat,2018-06-30T00:00:00.000,Oz Park,The Perfect Game,Y,PG,The Oz Park Baseball Association,2021 N. Burling St.,"2021 N. Burling St.
Chicago, IL 
(41.919044, -87.647303)"
Fri,2018-08-03T00:00:00.000,LeClaire Courts-Hearst Community Park,Sherlock Gnomes,Y,PG,,5120 W. 44th St.,"5120 W. 44th St.
Chicago, IL 
(41.812923, -87.751805)"
Thu,2018-07-26T00:00:00.000,Scottsdale Playground Park,Jumanji: Welcome to the Jungle,Y,PG-13,,4637 W. 83rd St.,"4637 W. 83rd St.
Chicago, IL 
(41.74203, -87.736251)"
Thu,2018-06-21T00:00:00.000,Archer Park,Little Big League,Y,PG,,4901 S.Kilbourn Ave.,"4901 S.Kilbourn Ave.
Chicago, IL 
(41.803471, -87.735651)"
Sat,2018-07-28T00:00:00.000,Humboldt Park,Despicable Me 3,Y,PG,,1440 N. Sacramento,"1440 N. Sacramento
Chicago, IL 
(41.902822, -87.701792)"
Fri,2018-06-22T00:00:00.000,La Villita Park,Jumanji: Welcome to the Jungle,Y,PG-13,,2800 S. Sacramento Blvd.,"2800 S. Sacramento Blvd.
Chicago, IL "
Fri,2018-07-13T00:00:00.000,Palmer Park,War for the Planet of the Apes,Y,PG-13,,201 E. 111th St.,"201 E. 111th St.
Chicago, IL 
(41.692674, -87.616431)"
Thu,2018-07-12T00:00:00.000,Ping Tom Memorial Park,The Boss Baby,Y,PG,,1700 S. Wentworth Ave.,"1700 S. Wentworth Ave.
Chicago, IL 
(41.858719, -87.6319)"
Wed,2018-07-18T00:00:00.000,Rosenblum Park,Jumanji: Welcome to the Jungle,Y,PG-13,,8050 S. Chapel,"8050 S. Chapel
Chicago, IL "
Fri,2018-08-10T00:00:00.000,Mayfair Park,The Sandlot,Y,PG,,4550 W. Sunnyside Ave.,"4550 W. Sunnyside Ave.
Chicago, IL 
(41.962597, -87.7422)"
Sat,2018-07-07T00:00:00.000,Indian Boundary Park and Cultural Center,Looney Tunes Cartoon Pack #4,N,NR,,2500 W. Lunt Ave.,"2500 W. Lunt Ave.
Chicago, IL 
(42.008606, -87.692536)"
Sun,2018-07-15T00:00:00.000,Jonquil Playlot Park,Grease,Y,PG-13,The Wrightwood Neighbors Association,1001 W. Wrightwood Ave.,"1001 W. Wrightwood Ave.
Chicago, IL 
(41.929029, -87.653839)"
Tue,2018-06-26T00:00:00.000,Horner Park,Wonder,Y,PG,JCC Chicago,2741 W. Montrose Ave.,"2741 W. Montrose Ave.
Chicago, IL 
(41.961286, -87.697294)"
Tue,2018-06-12T00:00:00.000,"Bartelme, Mary Park",The Martian,Y,PG-13,The Mary Bartelme Park Advisory Council,115 S. Sangamon St.,"115 S. Sangamon St.
Chicago, IL 
(41.879642, -87.650804)"
Sat,2018-06-30T00:00:00.000,Ellis Park,Justice League,Y,PG-13,,535 E. 35th St.,"535 E. 35th St.
Chicago, IL 
(41.831144, -87.613689)"
Mon,2018-06-18T00:00:00.000,West Lawn Park,Wonder,Y,PG,The St. Nicholas of Tolentine School,4233 W. 65th St.,"4233 W. 65th St.
Chicago, IL 
(41.774943, -87.728278)"
Sat,2018-08-18T00:00:00.000,DuSable Museum of African American History,Black Panther,Y,PG-13,The DuSable Museum of African American History,740 E. 56th Pl.,"740 E. 56th Pl.
Chicago, IL 
(41.793186, -87.605804)"
Wed,2018-06-27T00:00:00.000,White (Willye B.) Park,Hidden Figures,Y,PG,The Forest Preserve District of Cook County,7631 N. Ashland Ave.,"7631 N. Ashland Ave.
Chicago, IL 
(42.020685, -87.670605)"
Wed,2018-08-22T00:00:00.000,Kedvale Park,Coco,Y,PG,,4134 W. Hirsch St.,"4134 W. Hirsch St.
Chicago, IL 
(41.906237, -87.730323)"
Sat,2018-08-11T00:00:00.000,Jensen Park,Jumanji: Welcome to the Jungle,Y,PG-13,,4650 N. Lawndale Ave.,"4650 N. Lawndale Ave.
Chicago, IL 
(41.9657, -87.720608)"
Tue,2018-06-26T00:00:00.000,Lincoln Park,Trolls,Y,PG,,500-5700 N. Lake Shore Drive,"500-5700 N. Lake Shore Drive
Chicago, IL 
(41.891466, -87.614332)"
Fri,2018-09-07T00:00:00.000,Ronan Park,Ferdinand,Y,PG,Alderman Deb Mell,3000 W. Argyle St.,"3000 W. Argyle St.
Chicago, IL 
(41.972114, -87.704547)"
Mon,2018-07-23T00:00:00.000,Calumet Park,Ferdinand,Y,PG,,9801 S. Ave G,"9801 S. Ave G
Chicago, IL 
(41.718303, -87.531025)"
Sat,2018-07-07T00:00:00.000,Oz Park,Jumanji: Welcome to the Jungle,Y,PG-13,The Lincoln Park Baseball Academy,2021 N. Burling St.,"2021 N. Burling St.
Chicago, IL 
(41.919044, -87.647303)"
Mon,2018-07-16T00:00:00.000,Cotton Tail Park,Space Jam,Y,PG,The Greater South Loop Association,44 W. 15th St.,"44 W. 15th St.
Chicago, IL 
(41.861908, -87.628949)"
Sat,2018-09-01T00:00:00.000,Piotrowski Park,Moana,Y,PG,,4247 W. 31st St.,"4247 W. 31st St.
Chicago, IL 
(41.836817, -87.730787)"
Wed,2018-08-15T00:00:00.000,Shedd Park,Coco,Y,PG,,3660 W. 23rd St.,"3660 W. 23rd St.
Chicago, IL 
(41.849847, -87.716566)"
Mon,2018-07-30T00:00:00.000,Portage Park,Finding Dory,Y,PG,The Museum of Science and Industry,4100 N. Long Ave.,"4100 N. Long Ave.
Chicago, IL 
(41.955113, -87.762131)"
Sat,2018-07-28T00:00:00.000,Dawes Park,Jumanji: Welcome to the Jungle,Y,PG-13,,8052 S. Damen Ave.,"8052 S. Damen Ave.
Chicago, IL 
(41.747193, -87.673082)"
Mon,2018-07-30T00:00:00.000,Oakwood Beach,James and the Giant Peach,Y,PG,,3900 S. Lake Shore Dr.,"3900 S. Lake Shore Dr.
Chicago, IL "
Mon,2018-08-20T00:00:00.000,Rowan Park,Moana,Y,PG,The Forest Preserve District of Cook County,11546 S. Avenue L,"11546 S. Avenue L
Chicago, IL 
(41.685148, -87.53645)"
Tue,2018-06-26T00:00:00.000,Lake Shore Park,Bread and Tulips (Pane e Tulipani),Y,PG-13,The Italian Cultural Institute,808 N. Lake Shore Dr.,"808 N. Lake Shore Dr.
Chicago, IL 
(41.897388, -87.617422)"
Sun,2018-06-17T00:00:00.000,Churchill Field Playlot Park,Jumanji: Welcome to the Jungle,Y,PG-13,The Bucktown Community Organization,1825 N. Damen Ave.,"1825 N. Damen Ave.
Chicago, IL 
(41.914792, -87.677554)"
Wed,2018-06-27T00:00:00.000,Piotrowski Park,Help Me Make it Through the Night / Ayudame a pasar la noche,Y,NR,The International Latino Cultural Center,4247 W. 31st St.,"4247 W. 31st St.
Chicago, IL 
(41.836817, -87.730787)"
Mon,2018-08-13T00:00:00.000,South Shore Cultural Center,"Roman J. Israel, Esq.",Y,PG-13,,7059 S. South Shore Drive,"7059 S. South Shore Drive
Chicago, IL 
(41.766242, -87.562783)"
Mon,2018-07-23T00:00:00.000,River Park,Sing,Y,PG,,5100 N. Francisco Ave.,"5100 N. Francisco Ave.
Chicago, IL 
(41.973861, -87.701292)"
Sat,2018-06-16T00:00:00.000,Pulaski Park,Guardians of the Galaxy Vol. 2,Y,PG-13,,1419 W. Blackhawk St.,"1419 W. Blackhawk St.
Chicago, IL 
(41.907049, -87.663404)"
Mon,2018-08-27T00:00:00.000,South Shore Cultural Center,Jumanji: Welcome to the Jungle,Y,PG-13,,7059 S. South Shore Drive,"7059 S. South Shore Drive
Chicago, IL 
(41.766242, -87.562783)"
Thu,2018-08-09T00:00:00.000,Skinner Park,Black Panther,Y,PG-13,,1331 W. Monroe St.,"1331 W. Monroe St.
Chicago, IL 
(41.880283, -87.659439)"
Wed,2018-08-08T00:00:00.000,Loyola Park,Southern Winds / Vientos del Sur,Y,NR,The International Latino Cultural Center,1230 W. Greenleaf Ave.,"1230 W. Greenleaf Ave.
Chicago, IL 
(42.010439, -87.661605)"
Wed,2018-08-08T00:00:00.000,Simons Park,Coco,Y,PG,,1640 N. Drake Ave.,"1640 N. Drake Ave.
Chicago, IL 
(41.911382, -87.714974)"
Sat,2018-08-04T00:00:00.000,Oz Park,Wonder Woman,Y,PG-13,The Oz Park Advisory Council,2021 N. Burling St.,"2021 N. Burling St.
Chicago, IL 
(41.919044, -87.647303)"
Fri,2018-06-22T00:00:00.000,Hermitage Park,Beauty and the Beast,Y,PG,,5839 S. Wood St.,"5839 S. Wood St.
Chicago, IL 
(41.787188, -87.669237)"
Tue,2018-08-07T00:00:00.000,West Lawn Park,Despicable Me 3,Y,PG,,4233 W. 65th St.,"4233 W. 65th St.
Chicago, IL 
(41.774943, -87.728278)"
Mon,2018-08-13T00:00:00.000,Belmont Harbor,Bringing Up Baby,N,NR,,3200 N. Lake Shore Dr.,"3200 N. Lake Shore Dr.
Chicago, IL 
(41.940216, -87.63955)"
Tue,2018-06-19T00:00:00.000,Gill Park,The Sandlot,Y,PG,JCC Chicago,825 W. Sheridan Rd.,"825 W. Sheridan Rd.
Chicago, IL 
(41.952738, -87.650669)"
Thu,2018-06-14T00:00:00.000,McKiernan Playground Park,Ghostbusters (1984),Y,PG-13,,10714 S. Sawyer Ave.,"10714 S. Sawyer Ave.
Chicago, IL 
(41.698418, -87.702276)"
Sun,2018-07-15T00:00:00.000,Piotrowski Park,Footloose,Y,PG,,4247 W. 31st St.,"4247 W. 31st St.
Chicago, IL 
(41.836817, -87.730787)"
Sat,2018-06-23T00:00:00.000,Osterman Beach,West Side Story,Y,NR,,5800 N. Lake Shore Dr.,"5800 N. Lake Shore Dr.
Chicago, IL "
Thu,2018-08-23T00:00:00.000,Fosco Park,Hidden Figures,Y,PG,,1312 S. Racine Ave,"1312 S. Racine Ave
Chicago, IL 
(41.864757, -87.65661)"
Wed,2018-06-20T00:00:00.000,Harrison Park,Broche de Oro: Beginnings / Broche de Oro: Comienzos,Y,NR,The International Latino Cultural Center,1824 S. Wood St.,"1824 S. Wood St.
Chicago, IL 
(41.856825, -87.671063)"
Sun,2018-08-26T00:00:00.000,Hoyne Playground Park,Brave,Y,PG,The Museum of Science and Industry,3417 S. Hamiltion Ave.,"3417 S. Hamiltion Ave.
Chicago, IL 
(41.831627, -87.678962)"
Wed,2018-07-18T00:00:00.000,Gage Park,Home Team (Mi Mundial),Y,NR,The International Latino Cultural Center,2411 W. 55th St.,"2411 W. 55th St.
Chicago, IL 
(41.7939, -87.684688)"
Thu,2018-08-23T00:00:00.000,Wilson (Frank J.) Park,A Dog's Purpose,Y,PG,,4630 N. Milwaukee Ave.,"4630 N. Milwaukee Ave.
Chicago, IL 
(41.964711, -87.757983)"
Sat,2018-06-16T00:00:00.000,DuSable Museum of African American History,Marshall,Y,PG-13,The DuSable Museum of African American History,740 E. 56th Pl.,"740 E. 56th Pl.
Chicago, IL 
(41.793186, -87.605804)"
Sat,2018-07-21T00:00:00.000,Peterson Park,Jumanji: Welcome to the Jungle,Y,PG-13,,5801 N. Pulaski Rd.,"5801 N. Pulaski Rd.
Chicago, IL 
(41.986333, -87.728537)"
Wed,2018-06-20T00:00:00.000,Chicago History Museum,The Goonies,Y,PG,The Chicago History Museum,1601 N. Clark St.,"1601 N. Clark St.
Chicago, IL 
(41.911789, -87.631947)"
Mon,2018-07-09T00:00:00.000,Calumet Park,Babe,Y,G,,9801 S. Ave G,"9801 S. Ave G
Chicago, IL 
(41.718303, -87.531025)"
Tue,2018-07-10T00:00:00.000,Webster Park,An American Tail,Y,G,The Greater South Loop Association,1357 S. Indiana Ave.,"1357 S. Indiana Ave.
Chicago, IL 
(41.864392, -87.622376)"
Thu,2018-06-14T00:00:00.000,Wicker Park,The Color Purple,Y,PG-13,The Wormhole Coffee,1425 N. Damen Avenue,"1425 N. Damen Avenue
Chicago, IL 
(41.907977, -87.677399)"
Wed,2018-06-20T00:00:00.000,Grant Park: Logan Monument,Thor: Ragnarok,Y,PG-13,The Greater South Loop Association,900 S. Michigan Ave.,"900 S. Michigan Ave.
Chicago, IL 
(41.8706, -87.624217)"
Tue,2018-08-14T00:00:00.000,Kells Playground Park,Moana,Y,PG,The Bickerdike Redevelopment Corp.,3201 W. Chicago Ave.,"3201 W. Chicago Ave.
Chicago, IL 
(41.895563, -87.706576)"
Thu,2018-07-19T00:00:00.000,Senka Park,Despicable Me 3,Y,PG,,5656 S. St. Louis Ave.,"5656 S. St. Louis Ave.
Chicago, IL 
(41.790475, -87.710771)"
Sat,2018-08-18T00:00:00.000,Sauganash Park,Sing,Y,PG,The Edgebrook Sauganash Athletic Association,5861 N. Kostner Ave.,"5861 N. Kostner Ave.
Chicago, IL 
(41.987404, -87.738313)"
Mon,2018-08-27T00:00:00.000,Grant Park: Grove 5,Jurassic Park,Y,PG-13,,800 S. Columbus Dr.,"800 S. Columbus Dr.
Chicago, IL 
(41.872058, -87.620555)"
Sun,2018-08-19T00:00:00.000,Unity Playlot Park,Wonder,Y,PG,The Unity Park Advisory Council,2636 N. Kimball Ave.,"2636 N. Kimball Ave.
Chicago, IL 
(41.929239, -87.712198)"
Mon,2018-06-11T00:00:00.000,Belmont Harbor,Rear Window,Y,PG,,3200 N. Lake Shore Dr.,"3200 N. Lake Shore Dr.
Chicago, IL 
(41.940216, -87.63955)"
Fri,2018-08-24T00:00:00.000,Kelly Park,Coco,Y,PG,,2725 W. 41st St.,"2725 W. 41st St.
Chicago, IL 
(41.819371, -87.693257)"
Thu,2018-08-02T00:00:00.000,Marquette Park,Coco,Y,PG,,6743 S. Kedzie Ave.,"6743 S. Kedzie Ave.
Chicago, IL 
(41.77132, -87.702908)"
Fri,2018-08-24T00:00:00.000,Wrightwood Park,Star Wars: The Last Jedi,Y,PG-13,,2534 N. Greenview Ave.,"2534 N. Greenview Ave.
Chicago, IL 
(41.927985, -87.665809)"
Sat,2018-07-21T00:00:00.000,DuSable Museum of African American History,Jumanji: Welcome to the Jungle,Y,PG-13,The DuSable Museum of African American History,740 E. 56th Pl.,"740 E. 56th Pl.
Chicago, IL 
(41.793186, -87.605804)"
Mon,2018-08-13T00:00:00.000,Webster Park,Back to the Future,Y,PG,The Greater South Loop Association,1357 S. Indiana Ave.,"1357 S. Indiana Ave.
Chicago, IL 
(41.864392, -87.622376)"
Wed,2018-07-25T00:00:00.000,Heritage Green,Wonder Woman,Y,PG-13,The West Loop Community Organization,610-30 W. Adams St.,"610-30 W. Adams St.
Chicago, IL 
(41.879284, -87.642727)"
Fri,2018-06-15T00:00:00.000,Brooks Park,Back to the Future,Y,PG,The Edison Park Chamber of Commerce,7100 N. Harlem Ave.,"7100 N. Harlem Ave.
Chicago, IL 
(42.009873, -87.806655)"
Thu,2018-08-02T00:00:00.000,Austin Town Hall Park,Jumanji: Welcome to the Jungle,Y,PG-13,,5610 W. Lake St.,"5610 W. Lake St.
Chicago, IL 
(41.887286, -87.765528)"
Tue,2018-07-17T00:00:00.000,Beverly Park,"Monsters, Inc.",Y,G,,2460 W. 102nd St.,"2460 W. 102nd St.
Chicago, IL 
(41.708192, -87.68277)"
Thu,2018-07-05T00:00:00.000,Dunbar Park,Wonder Woman,Y,PG-13,,300 E. 31st St.,"300 E. 31st St.
Chicago, IL 
(41.838421, -87.618745)"
Thu,2018-08-16T00:00:00.000,Clarendon Park Community Center,Black Panther,Y,PG-13,,4501 N. Clarendon Ave.,"4501 N. Clarendon Ave.
Chicago, IL 
(41.963681, -87.649962)"
Mon,2018-09-10T00:00:00.000,South Shore Cultural Center,Black Panther,Y,PG-13,,7059 S. South Shore Drive,"7059 S. South Shore Drive
Chicago, IL 
(41.766242, -87.562783)"
Fri,2018-08-03T00:00:00.000,Dvorak Park,Jumanji: Welcome to the Jungle,Y,PG-13,,1119 W. Cullerton St.,"1119 W. Cullerton St.
Chicago, IL 
(41.855228, -87.65395)"
Fri,2018-07-13T00:00:00.000,Taylor Park,Jumanji: Welcome to the Jungle,Y,PG-13,,39 W. 47th St.,"39 W. 47th St.
Chicago, IL 
(41.809187, -87.627869)"
Fri,2018-08-24T00:00:00.000,Garfield Park,Hidden Figures,Y,PG,,100 N. Central Park Ave.,"100 N. Central Park Ave.
Chicago, IL 
(41.881566, -87.715877)"
Sat,2018-07-21T00:00:00.000,Bradley Park,Wonder,Y,PG,,9729 S.Yates Ave.,"9729 S.Yates Ave.
Chicago, IL "
Wed,2018-08-22T00:00:00.000,Union Park,Star Wars: The Last Jedi,Y,PG-13,The West Loop Community Organization,1501 W. Randolph St.,"1501 W. Randolph St.
Chicago, IL 
(41.884747, -87.66427)"
Sat,2018-08-04T00:00:00.000,O'Hallaren Park,Justice League,Y,PG-13,,8335 S. Honore St.,"8335 S. Honore St.
Chicago, IL 
(41.742791, -87.669235)"
Wed,2018-07-11T00:00:00.000,Kelvyn Park,Broche de Oro: Beginnings / Broche de Oro: Comienzos,Y,NR,The International Latino Cultural Center,4438 W. Wrightwood Ave.,"4438 W. Wrightwood Ave.
Chicago, IL 
(41.928651, -87.738278)"
Sat,2018-06-16T00:00:00.000,Winnemac Park,Wonder Woman,Y,PG-13,,5100 N. Leavitt St,"5100 N. Leavitt St
Chicago, IL 
(41.974286, -87.684226)"
Sat,2018-07-28T00:00:00.000,Loyola Park,Wonder,Y,PG,,1230 W. Greenleaf Ave.,"1230 W. Greenleaf Ave.
Chicago, IL 
(42.010439, -87.661605)"
Wed,2018-08-15T00:00:00.000,Hamlin Park,Ferdinand,Y,PG,,3035 N. Hoyne Ave.,"3035 N. Hoyne Ave.
Chicago, IL 
(41.93713, -87.680689)"
Thu,2018-07-12T00:00:00.000,Normandy Playground Park,Rogue One,Y,PG-13,,6660 W. 52nd St.,"6660 W. 52nd St.
Chicago, IL 
(41.797751, -87.788917)"
Sun,2018-07-15T00:00:00.000,Emmerson Park,The Emoji Movie,Y,PG,,1820 W. Granville Ave.,"1820 W. Granville Ave.
Chicago, IL 
(41.994338, -87.676586)"
Thu,2018-08-09T00:00:00.000,Wicker Park,The Associate,Y,PG-13,The Wicker Park Bucktown Chamber Members,1425 N. Damen Avenue,"1425 N. Damen Avenue
Chicago, IL 
(41.907977, -87.677399)"
Wed,2018-06-13T00:00:00.000,Kilbourn Park,Space Jam,Y,PG,,3501 N. Kilbourn Ave.,"3501 N. Kilbourn Ave.
Chicago, IL 
(41.944504, -87.739651)"
Tue,2018-06-19T00:00:00.000,Senn Playlot Park,Jumanji: Welcome to the Jungle,Y,PG-13,,5887 N. Ridge Ave.,"5887 N. Ridge Ave.
Chicago, IL 
(41.988713, -87.668464)"
Sat,2018-08-11T00:00:00.000,Museum of Science and Industry,The Incredibles,Y,PG,The Museum of Science and Industry,5700 S. Lake Shore Dr.,"5700 S. Lake Shore Dr.
Chicago, IL 
(41.792018, -87.580307)"
Thu,2018-06-28T00:00:00.000,Euclid Park,Wonder Woman,Y,PG-13,,9800 S. Parnell Ave.,"9800 S. Parnell Ave.
Chicago, IL 
(41.716059, -87.637005)"
