day,date,park,title,cc,rating,underwriter,park_address,location
Thu,2017-07-20T00:00:00.000,Senka Park,The Secret Life of Pets,Y,PG,,5656 S. St. Louis Ave.,"5656 S. St. Louis Ave.
Chicago, IL 
(41.790475, -87.710771)"
Thu,2017-07-20T00:00:00.000,Simons Park,Zootopia,Y,PG,,1640 N. Drake Ave.,"1640 N. Drake Ave.
Chicago, IL 
(41.911382, -87.714974)"
Thu,2017-07-20T00:00:00.000,Wicker Park,The Wicker Man,Y,PG-13,Underwritten by the Wicker Park Bucktown Chamber and the Wicker Park Advisory Council,1425 N. Damen Avenue,"1425 N. Damen Avenue
Chicago, IL 
(41.90763, -87.677389)"
Fri,2017-07-21T00:00:00.000,Independence Park,The LEGO Batman Movie,Y,PG,Produced by the Independence Park Advisory Council,3945 N. Springfield Ave.,"3945 N. Springfield Ave.
Chicago, IL 
(41.952657, -87.72507)"
Fri,2017-07-21T00:00:00.000,Kelly Park,Trolls,Y,PG,,2725 W. 41st St.,"2725 W. 41st St.
Chicago, IL 
(41.819371, -87.693257)"
Fri,2017-07-21T00:00:00.000,Kilbourn Park,The Sandlot,Y,PG,,3501 N. Kilbourn Ave.,"3501 N. Kilbourn Ave.
Chicago, IL 
(41.944504, -87.739651)"
Fri,2017-07-21T00:00:00.000,Ronan Park,Zootopia,Y,PG,Underwritten by Alderman Deb Mell,3000 W. Argyle St.,"3000 W. Argyle St.
Chicago, IL 
(41.972114, -87.704547)"
Sat,2017-07-22T00:00:00.000,Bosley Playground Park,Guardians of the Galaxy,Y,PG-13,,3044 S. Bonfield St.,"3044 S. Bonfield St.
Chicago, IL 
(41.839324, -87.653616)"
Sat,2017-07-22T00:00:00.000,Bradley Park,Sing,Y,PG,,9729 S.Yates Ave.,"9729 S.Yates Ave.
Chicago, IL "
Sat,2017-07-22T00:00:00.000,Dawes Park,The Magnificent Seven (2016),Y,PG-13,,8052 S. Damen Ave.,"8052 S. Damen Ave.
Chicago, IL 
(41.747193, -87.673082)"
Sat,2017-07-22T00:00:00.000,Gross Park,Fantastic Beasts and Where to Find Them,Y,PG-13,,2708 W. Lawrence Ave.,"2708 W. Lawrence Ave.
Chicago, IL 
(41.968581, -87.696593)"
Sun,2017-07-23T00:00:00.000,Emmerson Park,Kung Fu Panda 3,Y,PG,,1820 W. Granville Ave.,"1820 W. Granville Ave.
Chicago, IL 
(41.994338, -87.676586)"
Sun,2017-07-23T00:00:00.000,Jonquil Playlot Park,Arrival,Y,PG-13,Underwritten by the Wrightwood Neighbors Association,1001 W. Wrightwood Ave.,"1001 W. Wrightwood Ave.
Chicago, IL 
(41.929029, -87.653839)"
Mon,2017-07-24T00:00:00.000,Calumet Park,Sing,Y,PG,,9801 S. Ave G,"9801 S. Ave G
Chicago, IL 
(41.717823, -87.531589)"
Mon,2017-07-24T00:00:00.000,Osterman Beach,Steel Magnolias,Y,PG,,5800 N. Lake Shore Dr.,"5800 N. Lake Shore Dr.
Chicago, IL "
Tue,2017-07-25T00:00:00.000,Chicago History Museum,Airplane!,Y,PG,Underwritten by the Chicago History Museum,1601 N. Clark St.,"1601 N. Clark St.
Chicago, IL 
(41.911789, -87.631947)"
Tue,2017-07-25T00:00:00.000,Haas Park,The Lego Movie,Y,PG,Produced by the Haas Park Advisory Council,2402 N. Washtenaw Ave.,"2402 N. Washtenaw Ave.
Chicago, IL 
(41.924954, -87.694974)"
Tue,2017-07-25T00:00:00.000,Maggie Daley Park,Big Hero 6,Y,PG,Underwritten by the Museum of Science and Industry,337 E. Randolph St.,"337 E. Randolph St.
Chicago, IL 
(41.884351, -87.620142)"
Tue,2017-07-25T00:00:00.000,Mann Park,The Secret Life of Pets,Y,PG,,3035 E. 130st St.,"3035 E. 130st St.
Chicago, IL 
(41.659159, -87.5502)"
Tue,2017-07-25T00:00:00.000,Shabbona Park,Mrs. Doubtfire,Y,PG-13,,6935 W. Addison St.,"6935 W. Addison St.
Chicago, IL 
(41.945407, -87.800259)"
Wed,2017-07-26T00:00:00.000,Gage Park,Ice Age,Y,PG,,2411 W. 55th St.,"2411 W. 55th St.
Chicago, IL 
(41.793908, -87.684334)"
Wed,2017-07-26T00:00:00.000,Hermosa Park,Los Fabulosos Ma Mejores,Y,NR,Underwritten by the International Latino Cultural Center,2240 N. Kilbourn Ave.,"2240 N. Kilbourn Ave.
Chicago, IL 
(41.921715, -87.738909)"
Wed,2017-07-26T00:00:00.000,Jesse White Community Center,Finding Dory,Y,PG,,412 W. Chicago Ave.,"412 W. Chicago Ave.
Chicago, IL 
(41.896584, -87.639255)"
Thu,2017-07-27T00:00:00.000,Austin Town Hall Park,Tyler Perry's Boo: A Madea Halloween,Y,PG-13,,5610 W. Lake St.,"5610 W. Lake St.
Chicago, IL 
(41.887286, -87.765528)"
Thu,2017-07-27T00:00:00.000,Chase Park,Captain America,Y,PG-13,Produced by the Chase Park Advisory Council,4701 N. Ashland Ave.,"4701 N. Ashland Ave.
Chicago, IL 
(41.967097, -87.669326)"
Thu,2017-07-27T00:00:00.000,Normandy Playground Park,Moana,Y,PG,,6660 W. 52nd St.,"6660 W. 52nd St.
Chicago, IL 
(41.797751, -87.788917)"
Thu,2017-07-27T00:00:00.000,White (Edward H.) Park,The Magnificent Seven (2016),Y,PG-13,,1120 W. 122nd St.,"1120 W. 122nd St.
Chicago, IL 
(41.672243, -87.650157)"
Fri,2017-07-28T00:00:00.000,Athletic Field Park,Ferris Bueller's Day Off,Y,PG-13,Produced by the Athletic Field Park Advisory Council,3546 W. Addison St.,"3546 W. Addison St.
Chicago, IL 
(41.946538, -87.715942)"
Fri,2017-07-28T00:00:00.000,Avalon Park,Sing,Y,PG,,1215 E. 83rd St.,"1215 E. 83rd St.
Chicago, IL 
(41.744101, -87.594181)"
Fri,2017-07-28T00:00:00.000,Oakdale Park,Tyler Perry's Boo: A Madea Halloween,Y,PG-13,,965 W. 95th St.,"965 W. 95th St.
Chicago, IL 
(41.721324, -87.648147)"
Fri,2017-07-28T00:00:00.000,Schreiber Playground Park,Moana,Y,PG,,1552 W. Schreiber Ave.,"1552 W. Schreiber Ave.
Chicago, IL 
(41.998905, -87.669743)"
Fri,2017-07-28T00:00:00.000,Veteran's Memorial Park,The LEGO Batman Movie,Y,PG,,2820 E. 98th St.,"2820 E. 98th St.
Chicago, IL 
(41.717305, -87.555391)"
Sat,2017-07-29T00:00:00.000,Harrison Park,A Monster in Paris,Y,PG,Underwritten by the Consulate General of France in Chicago,1824 S. Wood St.,"1824 S. Wood St.
Chicago, IL 
(41.856811, -87.671063)"
Sat,2017-07-29T00:00:00.000,Kennicott Park,The LEGO Batman Movie,Y,PG,,4434 S. Lake Park Ave.,"4434 S. Lake Park Ave.
Chicago, IL 
(41.814477, -87.597067)"
Sat,2017-07-29T00:00:00.000,Wolfe Playground Park,Instructions Not Included,Y,PG-13,,3325 E. 108th St.,"3325 E. 108th St.
Chicago, IL 
(41.699134, -87.542709)"
Mon,2017-07-31T00:00:00.000,Harold Washington Playlot Park,Romeo + Juliet,Y,PG-13,,5200 S. Hyde Park Blvd.,"5200 S. Hyde Park Blvd.
Chicago, IL 
(41.800598, -87.584362)"
Tue,2017-08-01T00:00:00.000,Blackhawk Park,The Book of Life,Y,PG,Underwritten by Alderman Gilbert Villegas,2318 N. Lavergne Ave.,"2318 N. Lavergne Ave.
Chicago, IL 
(41.923288, -87.751205)"
Tue,2017-08-01T00:00:00.000,Grand Crossing Park,Southside With You,Y,PG-13,,7655 S. Ingleside Ave.,"7655 S. Ingleside Ave.
Chicago, IL 
(41.755786, -87.60167)"
Tue,2017-08-01T00:00:00.000,Indian Boundary Park and Cultural Center,Beach Blanket Bingo (with Long Haired Hare),,NR,,2500 W. Lunt Ave.,"2500 W. Lunt Ave.
Chicago, IL 
(42.008606, -87.692536)"
Tue,2017-08-01T00:00:00.000,West Lawn Park,Sing,Y,PG,,4233 W. 65th St.,"4233 W. 65th St.
Chicago, IL 
(41.774943, -87.728278)"
Wed,2017-08-02T00:00:00.000,Hamilton Park,Independence Day: Resurgence,Y,PG-13,,513 W. 72nd St.,"513 W. 72nd St.
Chicago, IL 
(41.763485, -87.63878)"
Wed,2017-08-02T00:00:00.000,Loyola Park,Yo soy un Politico/I am a Politicion,Y,NR,Underwritten by the International Latino Cultural Center,1230 W. Greenleaf Ave.,"1230 W. Greenleaf Ave.
Chicago, IL 
(42.01044, -87.661298)"
Wed,2017-08-02T00:00:00.000,Union Park,X-Men: Apocalypse,Y,PG-13,,1501 W. Randolph St.,"1501 W. Randolph St.
Chicago, IL 
(41.884747, -87.66427)"
Thu,2017-08-03T00:00:00.000,Marquette Park,Moana,Y,PG,,6743 S. Kedzie Ave.,"6743 S. Kedzie Ave.
Chicago, IL 
(41.77132, -87.702908)"
Thu,2017-08-03T00:00:00.000,Nat King Cole Park,Ice Age: Collision Course,Y,PG,,361 E. 85th St.,"361 E. 85th St.
Chicago, IL 
(41.740144, -87.615445)"
Thu,2017-08-03T00:00:00.000,West Pullman Park,Jason Bourne,Y,PG-13,,401 W. 123rd St.,"401 W. 123rd St.
Chicago, IL 
(41.670625, -87.632751)"
Fri,2017-08-04T00:00:00.000,Green Briar Park,Moana,Y,PG,,2650 W. Peterson Ave.,"2650 W. Peterson Ave.
Chicago, IL 
(41.990486, -87.696173)"
Fri,2017-08-04T00:00:00.000,Lindblom Park,Fences,Y,PG-13,,6054 S. Damen Ave.,"6054 S. Damen Ave.
Chicago, IL 
(41.783375, -87.67402)"
Fri,2017-08-04T00:00:00.000,Vittum Park,Sing,Y,PG,,5010 W. 50th St.,"5010 W. 50th St.
Chicago, IL 
(41.801881, -87.762183)"
Fri,2017-08-04T00:00:00.000,Wildwood Park,The Secret Life of Pets,Y,PG,,6950 N. Hiawatha Ave.,"6950 N. Hiawatha Ave.
Chicago, IL 
(42.006605, -87.777366)"
Fri,2017-08-04T00:00:00.000,Woodhull Playground Park,Jason Bourne,Y,PG-13,,7340 S. East End Ave.,"7340 S. East End Ave.
Chicago, IL 
(41.760907, -87.583561)"
Sat,2017-08-05T00:00:00.000,Sauganash Park,Moana,Y,PG,Underwritten by the Edgebrook Sauganash Athletic Association,5861 N. Kostner Ave.,"5861 N. Kostner Ave.
Chicago, IL 
(41.987404, -87.738313)"
Sat,2017-08-05T00:00:00.000,Senn Playlot Park,Finding Dory,Y,PG,,5887 N. Ridge Ave.,"5887 N. Ridge Ave.
Chicago, IL 
(41.988713, -87.668464)"
Sat,2017-08-05T00:00:00.000,Winnemac Park,August Rush,Y,PG,Underwritten by the Winnemac Park Park Advisory Council,5100 N. Leavitt St,"5100 N. Leavitt St
Chicago, IL 
(41.974286, -87.684226)"
Sun,2017-08-06T00:00:00.000,Douglas Park Cultural and Community Center,Hidden Figures,Y,PG,Co-produced by 24th Ward Alderman Michael Scott Jr.,1401 S. Sacramento Dr.,"1401 S. Sacramento Dr.
Chicago, IL 
(41.862686, -87.701891)"
Sun,2017-08-06T00:00:00.000,Gill Park,Tomboy,Y,NR,,825 W. Sheridan Rd.,"825 W. Sheridan Rd.
Chicago, IL 
(41.952738, -87.650669)"
Mon,2017-08-07T00:00:00.000,Chippewa Park,Finding Dory,Y,PG,Underwritten by Alderman Deborah and State Senator Ira Silverstein,6748 N. Sacramento Ave.,"6748 N. Sacramento Ave.
Chicago, IL 
(42.004309, -87.70461)"
Mon,2017-08-07T00:00:00.000,Oakwood Beach,Home Alone,Y,PG,,3900 S. Lake Shore Dr.,"3900 S. Lake Shore Dr.
Chicago, IL "
Mon,2017-08-07T00:00:00.000,South Shore Cultural Center,The Wiz,Y,G,,7059 S. South Shore Drive,"7059 S. South Shore Drive
Chicago, IL 
(41.766242, -87.562783)"
Tue,2017-08-08T00:00:00.000,A. Montgomery Ward Park,Sully,Y,PG-13,Underwritten by the River North Residents Association,630 N. Kingsbury St.,"630 N. Kingsbury St.
Chicago, IL 
(41.892878, -87.640952)"
Tue,2017-08-08T00:00:00.000,Cragin Park,The LEGO Batman Movie,Y,PG,,2611 N. Lockwood Ave.,"2611 N. Lockwood Ave.
Chicago, IL 
(41.9282, -87.758743)"
Tue,2017-08-08T00:00:00.000,Davis Square Park,Power Rangers,Y,PG-13,,4430 S. Marshfield Ave.,"4430 S. Marshfield Ave.
Chicago, IL 
(41.813515, -87.666312)"
Tue,2017-08-08T00:00:00.000,Roosevelt Park,Moana,Y,PG,,62 W. Roosevelt Rd.,"62 W. Roosevelt Rd.
Chicago, IL 
(41.867444, -87.629875)"
Wed,2017-08-09T00:00:00.000,Augusta Park,Tyler Perry's Boo: A Madea Halloween,Y,PG-13,,4433 W. Augusta Blvd.,"4433 W. Augusta Blvd.
Chicago, IL 
(41.898876, -87.736891)"
Wed,2017-08-09T00:00:00.000,Burnside Park,Hidden Figures,Y,PG,,9400 S. Greenwood Ave.,"9400 S. Greenwood Ave.
Chicago, IL 
(41.723933, -87.597269)"
Wed,2017-08-09T00:00:00.000,Kelly Park,Zootopia,,PG,,2725 W. 41st St.,"2725 W. 41st St.
Chicago, IL 
(41.819371, -87.693257)"
Wed,2017-08-09T00:00:00.000,Piotrowski Park,Los Fabulosos Ma Mejores,Y,NR,Underwritten by the International Latino Cultural Center,4247 W. 31st St.,"4247 W. 31st St.
Chicago, IL 
(41.836813, -87.731076)"
Thu,2017-08-10T00:00:00.000,Commercial Club Playground,The Secret Life of Pets,Y,PG,,1845 W. Rice St.,"1845 W. Rice St.
Chicago, IL 
(41.896879, -87.673798)"
Thu,2017-08-10T00:00:00.000,DuSable Museum of African American History,I Am Not Your Negro,Y,PG-13,Underwritten by the Consulate General of France in Chicago,740 E. 56th Pl.,"740 E. 56th Pl.
Chicago, IL 
(41.793186, -87.605804)"
Thu,2017-08-10T00:00:00.000,Pasteur Park,Sing,Y,PG,,5825 S. Kostner Ave,"5825 S. Kostner Ave
Chicago, IL 
(41.786168, -87.732757)"
Thu,2017-08-10T00:00:00.000,Shedd Park,Finding Dory,Y,PG,,3660 W. 23rd St.,"3660 W. 23rd St.
Chicago, IL 
(41.849847, -87.716566)"
Fri,2017-08-11T00:00:00.000,Hadiya Pendleton Park,Sing,Y,PG,,4345 S. Calumet Ave.,"4345 S. Calumet Ave.
Chicago, IL 
(41.815818, -87.618305)"
Fri,2017-08-11T00:00:00.000,Kelly Park,Hotel Transylvania,Y,PG,,2725 W. 41st St.,"2725 W. 41st St.
Chicago, IL 
(41.819371, -87.693257)"
Fri,2017-08-11T00:00:00.000,Maplewood Playlot Park,Finding Dory,Y,PG,,1640 N.Maplewood Ave.,"1640 N.Maplewood Ave.
Chicago, IL 
(41.911016, -87.690906)"
Fri,2017-08-11T00:00:00.000,Smith (Wendell) Playlot Park,Central Intelligence,Y,PG-13,,9912 S. Princeton Ave.,"9912 S. Princeton Ave.
Chicago, IL 
(41.713967, -87.630861)"
Sat,2017-08-12T00:00:00.000,Chicago Women's Park and Gardens,Moana,Y,PG,Underwritten by the Prairie District Neighborhood Alliance,1801 S. Indiana Ave.,"1801 S. Indiana Ave.
Chicago, IL 
(41.857935, -87.622279)"
Sat,2017-08-12T00:00:00.000,Stout Park,The Sandlot,Y,PG,,5446 S. Greenwood Ave.,"5446 S. Greenwood Ave.
Chicago, IL 
(41.796564, -87.599675)"
Sat,2017-08-12T00:00:00.000,White (Willye B.) Park,Trolls,Y,PG,,7631 N. Ashland Ave.,"7631 N. Ashland Ave.
Chicago, IL 
(42.020685, -87.670605)"
Sun,2017-08-13T00:00:00.000,Jonquil Playlot Park,Fantastic Beasts and Where to Find Them,Y,PG-13,Underwritten by the Wrightwood Neighbors Association,1001 W. Wrightwood Ave.,"1001 W. Wrightwood Ave.
Chicago, IL 
(41.929029, -87.653839)"
Sun,2017-08-13T00:00:00.000,Northerly Island,Close Encounters of the Third Kind,Y,PG,,1521 S. Linn White Dr.,"1521 S. Linn White Dr.
Chicago, IL 
(41.860664, -87.610261)"
Mon,2017-08-14T00:00:00.000,Calumet Park,Lean On Me,Y,PG-13,,9801 S. Ave G,"9801 S. Ave G
Chicago, IL 
(41.717823, -87.531589)"
Mon,2017-08-14T00:00:00.000,South Shore Cultural Center,Sing,Y,PG,,7059 S. South Shore Drive,"7059 S. South Shore Drive
Chicago, IL 
(41.766242, -87.562783)"
Mon,2017-08-14T00:00:00.000,Tilton Park,Almost Christmas,Y,PG-13,,305 N. Kostner Ave.,"305 N. Kostner Ave.
Chicago, IL 
(41.885906, -87.735629)"
Tue,2017-08-15T00:00:00.000,Bell Park,The Sandlot,Y,PG,,3020 N. Oak Park Ave.,"3020 N. Oak Park Ave.
Chicago, IL 
(41.935253, -87.795593)"
Tue,2017-08-15T00:00:00.000,Hamlin Park,Big Hero 6,Y,PG,Underwritten by the Museum of Science and Industry,3035 N. Hoyne Ave.,"3035 N. Hoyne Ave.
Chicago, IL 
(41.937197, -87.680691)"
Tue,2017-08-15T00:00:00.000,Rosedale Park,Hop,Y,PG,,6312 W. Rosedale Ave.,"6312 W. Rosedale Ave.
Chicago, IL 
(41.988423, -87.787031)"
Wed,2017-08-16T00:00:00.000,"Bartelme, Mary Park",The BFG,Y,PG,Underwritten by the West Loop Community Organization,115 S. Sangamon St.,"115 S. Sangamon St.
Chicago, IL 
(41.879642, -87.650804)"
Wed,2017-08-16T00:00:00.000,Brands Park,Space Jam,Y,PG,,3259 N. Elston Ave.,"3259 N. Elston Ave.
Chicago, IL 
(41.940571, -87.699996)"
Wed,2017-08-16T00:00:00.000,Cotton Tail Park,Zootopia,Y,PG,Underwritten by the Greater South Loop Association,44 W. 15th St.,"44 W. 15th St.
Chicago, IL 
(41.861916, -87.629097)"
Thu,2017-08-17T00:00:00.000,Edgebrook Park,The LEGO Batman Movie,Y,PG,,6525 N. Hiawatha Ave.,"6525 N. Hiawatha Ave.
Chicago, IL 
(41.999284, -87.761796)"
Thu,2017-08-17T00:00:00.000,Eugene Field Park,Rudy,Y,PG,,5100 N. Ridgeway Ave.,"5100 N. Ridgeway Ave.
Chicago, IL 
(41.973843, -87.722074)"
Thu,2017-08-17T00:00:00.000,Hoyne Playground Park,Frozen,Y,PG,,3417 S. Hamiltion Ave.,"3417 S. Hamiltion Ave.
Chicago, IL 
(41.831627, -87.678962)"
Thu,2017-08-17T00:00:00.000,Washtenaw Park,The LEGO Batman Movie,Y,PG,,2521 S. Washtenaw Ave.,"2521 S. Washtenaw Ave.
Chicago, IL 
(41.846195, -87.692821)"
Fri,2017-08-18T00:00:00.000,Abbott Park,Moana,Y,PG,,49 E. 95th St.,"49 E. 95th St.
Chicago, IL 
(41.721687, -87.622358)"
Fri,2017-08-18T00:00:00.000,Independence Park,La La Land,Y,PG-13,Produced by the Independence Park Advisory Council,3945 N. Springfield Ave.,"3945 N. Springfield Ave.
Chicago, IL 
(41.952657, -87.72507)"
Fri,2017-08-18T00:00:00.000,LeClaire Courts-Hearst Community Park,Moana,Y,PG,,5120 W. 44th St.,"5120 W. 44th St.
Chicago, IL 
(41.812909, -87.752889)"
Fri,2017-08-18T00:00:00.000,Wrightwood Park,The LEGO Batman Movie,Y,PG,,2534 N. Greenview Ave.,"2534 N. Greenview Ave.
Chicago, IL 
(41.927985, -87.665809)"
Sat,2017-08-19T00:00:00.000,DuSable Museum of African American History,Southside With You,Y,PG-13,Underwritten by the DuSable Museum of African American History,740 E. 56th Pl.,"740 E. 56th Pl.
Chicago, IL 
(41.793186, -87.605804)"
Sat,2017-08-19T00:00:00.000,Unity Playlot Park,Sing,Y,PG,Underwritten by the Unity Park Advisory Council,2636 N. Kimball Ave.,"2636 N. Kimball Ave.
Chicago, IL 
(41.929239, -87.712198)"
Sat,2017-08-19T00:00:00.000,Walsh Playground Park,Harry Potter and the Prisoner of Azkaban,Y,PG,Underwritten by the Bucktown Community Organization,1722 N. Ashland Ave.,"1722 N. Ashland Ave.
Chicago, IL 
(41.912858, -87.667823)"
