eventname,moviename,parkname,zipcode,startdate,enddate,eventurl,parkurl,community,movieclosedcaption,movierating,location_1
Night Out: Movies in the Parks at Fulton River,Grease,Park No. 551,60611.0,2015-08-24T20:00:00.000,2015-08-24T21:50:00.000,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Fulton-River6/,http://www.chicagoparkdistrict.com/parks/Park-No-551/,Near West Side,Yes,PG-13,"353 N. DesPlaines St. Chicago IL 60611
Chicago, IL 60611
(41.88835526, -87.64409637)"
Night Out: Movies in the Parks at Steelworkers,The Hunger Games,Steelworkers Park ,60619.0,2015-08-16T20:00:00.000,2015-08-16T22:22:00.000,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Steelworkers/,http://www.chicagoparkdistrict.com/parks/steelworkers-park-/,South Chicago,Yes,PG-13,"East 87th at Lake Michigan Chicago IL 60619
Chicago, IL 60619
(41.73539783, -87.52882004)"
Night Out: Movies in the Parks at Chase,Bill and Ted's Excellent Adventure,Chase Park,60640.0,2015-08-27T20:00:00.000,2015-08-27T22:00:00.000,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Chase4/,http://www.chicagoparkdistrict.com/parks/Chase-Park/,Uptown,,PG,"4701 N. Ashland Ave. Chicago IL 60640
Chicago, IL 60640
(41.96714783, -87.66930389)"
Night Out: Movies in the Parks at Dunham,Spare Parts,Dunham Park,60630.0,2015-06-30T20:30:00.000,2015-06-30T22:26:00.000,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Dunham1/,http://www.chicagoparkdistrict.com/parks/Dunham-Park/,Portage Park,,PG-13,"4638 N. Melvina Ave. Chicago IL 60630
Chicago, IL 60630
(41.96598053, -87.78197479)"
Night Out: Movies in the Parks at Chicago Women's,Big Hero 6,Chicago Women's Park and Gardens,60616.0,2015-07-28T20:30:00.000,2015-07-28T22:12:00.000,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Chicago-Womens3/,http://www.chicagoparkdistrict.com/parks/Chicago-Womens-Park-and-Gardens/,Near South Side,Yes,PG,"1801 S Indiana Ave Chicago, IL 60616
Chicago, IL 60616
(41.85781097, -87.62203979)"
Night Out: Movies in the Parks at Chase,Sixteen Candles,Chase Park,60640.0,2015-07-23T20:00:00.000,2015-07-23T22:00:00.000,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Chase3/,http://www.chicagoparkdistrict.com/parks/Chase-Park/,Uptown,,R,"4701 N. Ashland Ave. Chicago IL 60640
Chicago, IL 60640
(41.96714783, -87.66930389)"
Night Out: Movies in the Parks at Graver,The Boxtrolls,Graver Park,60643.0,2015-06-25T20:30:00.000,2015-06-25T22:06:00.000,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Graver1/,http://www.chicagoparkdistrict.com/parks/Graver-Park/,"Morgan Park, Beverly",Yes,PG,"1518 W. 102nd Pl. Chicago IL 60643
Chicago, IL 60643
(41.70744705, -87.66044617)"
Night Out: Movies in the Parks at Loyola,The Lego Movie,Loyola Park,60626.0,2015-07-11T20:30:00.000,2015-07-11T22:10:00.000,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Loyola4/,http://www.chicagoparkdistrict.com/parks/Loyola-Park/,"Rogers Park, Grand Boulevard",Yes,PG,"1230 W. Greenleaf Ave. Chicago IL 60626
Chicago, IL 60626
(42.01041412, -87.66117859)"
Night Out: Movies in the Parks at Tilton,Selma,Tilton Park,60624.0,2015-06-26T20:30:00.000,2015-06-26T22:38:00.000,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Tilton1/,http://www.chicagoparkdistrict.com/parks/Tilton-Park/,West Garfield Park,Yes,PG-13,"305 N. Kostner Ave. Chicago IL 60624
Chicago, IL 60624
(41.88605499, -87.73561859)"
Night Out: Movies in the Parks at Kilbourn,Space Jam,Kilbourn Park,60641.0,2015-07-16T20:30:00.000,2015-07-16T21:58:00.000,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Kilbourn2/,http://www.chicagoparkdistrict.com/parks/Kilbourn-Park/,Irving Park,Yes,PG,"3501 N. Kilbourn Ave. Chicago IL 60641
Chicago, IL 60641
(41.94442749, -87.73962402)"
Night Out: Movies in the Parks at South Shore,The Wiz,South Shore Cultural Center,60649.0,2015-08-26T20:00:00.000,2015-08-26T22:14:00.000,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-South-Shore10/,http://www.chicagoparkdistrict.com/parks/South-Shore-Cultural-Center/,South Shore,Yes,G,"7059 S. South Shore Dr. Chicago IL 60649
,  60649
(41.76674652, -87.56651306)"
Night Out: Movies in the Parks at Senka,Teenage Mutant Ninja Turtles (2014),Senka Park,60629.0,2015-08-18T20:00:00.000,2015-08-18T21:41:00.000,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Senka1/,http://www.chicagoparkdistrict.com/parks/Senka-Park/,Gage Park,Yes,PG-13,"5656 S. St. Louis Ave. Chicago IL 60629
Chicago, IL 60629
(41.79055023, -87.71083069)"
Night Out: Movies in the Parks at Douglas,Strange Magic,Douglas Park,60623.0,2015-08-04T20:00:00.000,2015-08-04T21:39:00.000,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Douglas2/,http://www.chicagoparkdistrict.com/parks/douglas-park/,North Lawndale,Yes,PG,"1401 S. Sacramento Dr. Chicago IL 60623
Chicago, IL 60623
(41.86323547, -87.70204926)"
Night Out: Movies in the Parks at Lake Meadows,Back to the Future Part II,Lake Meadows Park,60616.0,2015-07-13T20:30:00.000,2015-07-13T22:18:00.000,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Lake-Meadows2/,http://www.chicagoparkdistrict.com/parks/Lake-Meadows-Park/,Douglas,Yes,PG,"3117 S. Rhodes Ave. Chicago IL 60616
Chicago, IL 60616
(41.83804321, -87.61347198)"
Night Out: Movies in the Parks at Bauler,How to Train Your Dragon 2,Bauler Playlot Park,60614.0,2015-06-12T20:30:00.000,2015-06-12T22:12:00.000,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Bauler/,http://www.chicagoparkdistrict.com/parks/Bauler-Playlot-Park/,Lincoln Park,Yes,PG,"501 W Wisconsin St Chicago, IL 60614
Chicago, IL 60614
(41.91645432, -87.64118195)"
Night Out: Movies in the Parks at Fosco,Rio 2,Fosco Park,60608.0,2015-08-14T20:00:00.000,2015-08-14T21:41:00.000,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Fosco2/,http://www.chicagoparkdistrict.com/parks/fosco-park/,Near West Side,Yes,G,"1312 S. Racine Ave, Chicago IL 60608
Chicago, IL 60608
(41.86500168, -87.6566391)"
Night Out: Movies in the Parks at Green Briar,Night at the Museum: Secret of the Tomb,Green Briar Park,60659.0,2015-08-07T20:00:00.000,2015-08-07T21:38:00.000,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Green-Briar1/,http://www.chicagoparkdistrict.com/parks/Green-Briar-Park/,West Ridge,Yes,PG,"2650 W. Peterson Ave. Chicago IL 60659
Chicago, IL 60659
(41.99058914, -87.69587708)"
Night Out: Movies in the Parks at Oz,The Wizard of Oz,Oz Park,60614.0,2015-08-23T20:00:00.000,2015-08-23T21:41:00.000,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Oz9/,http://www.chicagoparkdistrict.com/parks/Oz-Park/,Lincoln Park,Yes,G,"2021 N. Burling St. Chicago IL 60614
Chicago, IL 60614
(41.92099187, -87.64469862)"
Night Out: Movies in the Parks at Garfield Conserv,"Honey, I Shrunk the Kids",Garfield Park Conservatory,60624.0,2015-06-17T20:30:00.000,2015-06-17T21:56:00.000,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Garfield-Conserv/,http://www.chicagoparkdistrict.com/parks/garfield-park-conservatory/,East Garfield Park,Yes,PG,"300 N Central Park Ave Chicago, IL 60624
Chicago, IL 60624
(41.88751984, -87.71611023)"
Night Out: Movies in the Parks at Calumet,A Latino Film Festival Selection,Calumet Park,60617.0,2015-07-08T20:30:00.000,2015-07-08T22:30:00.000,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Calumet8/,http://www.chicagoparkdistrict.com/parks/Calumet-Park/,East Side,Yes,NR,"9801 S Avenue G Chicago, IL 60617
Chicago, IL 60617
(41.71755765, -87.53148079)"
Night Out: Movies in the Parks at Broncho Billy,Strange Magic,Broncho Billy Playlot Park,60640.0,2015-07-02T20:30:00.000,2015-07-02T22:10:00.000,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Broncho-Billy1/,http://www.chicagoparkdistrict.com/parks/Broncho-Billy-Playlot-Park/,Uptown,,PG,"4437 N Magnolia Ave Chicago, IL 60640
Chicago, IL 60640
(41.96285248, -87.66093445)"
Night Out: Movies in the Parks at Peterson,The Boxtrolls,Peterson Park,60646.0,2015-06-19T20:30:00.000,2015-06-19T22:06:00.000,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Peterson1/,http://www.chicagoparkdistrict.com/parks/Peterson-Park/,North Park,Yes,PG,"5801 N. Pulaski Rd. Chicago IL 60646
Chicago, IL 60646
(41.98551559, -87.7227478)"
Night Out: Movies in the Parks at Hermosa,A Latino Film Festival Selection,Hermosa Park,60639.0,2015-07-29T20:30:00.000,2015-07-29T22:30:00.000,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Hermosa4/,http://www.chicagoparkdistrict.com/parks/Hermosa-Park/,Hermosa,Yes,NR,"2240 N. Kilbourn Ave. Chicago IL 60639
Chicago, IL 60639
(41.92153931, -87.73892212)"
Night Out: Movies in the Parks at Indian Boundary,"Looney Tunes Collection (Corny Concerto, Foney Fables, Hollywood Steps Out, Little Red Riding Rabbit, Rabbit of Seville, Rocket Bye Baby, Bugs' Bonnets)",Indian Boundary Park,,2015-07-24T20:30:00.000,2015-07-24T21:30:00.000,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Indian-Boundary1/,http://www.chicagoparkdistrict.com/parks/indian-boundary-park/,West Ridge,No,NR,"2500 W. Lunt Ave., Chicago IL 60645
Chicago, IL 
(42.0086174, -87.69226074)"
Night Out: Movies in the Parks at Hayes,Get On Up,Hayes Park,60652.0,2015-08-06T20:00:00.000,2015-08-06T22:19:00.000,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Hayes2/,http://www.chicagoparkdistrict.com/parks/Hayes-Park/,Ashburn,Yes,PG-13,"2936 W. 85th St. Chicago IL 60652
Chicago, IL 60652
(41.73907852, -87.69678497)"
Night Out: Movies in the Parks at Piotrowski,A Latino Film Festival Selection,Piotrowski Park,60623.0,2015-07-15T20:30:00.000,2015-07-15T22:30:00.000,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Piotrowski5/,http://www.chicagoparkdistrict.com/parks/Piotrowski-Park/,South Lawndale,Yes,NR,"4247 W. 31st St. Chicago IL 60623
Chicago, IL 60623
(41.8367424, -87.730896)"
Night Out: Movies in the Parks at Dunbar,Annie (2014),Dunbar Park,60616.0,2015-08-13T20:00:00.000,2015-08-13T21:58:00.000,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Dunbar4/,http://www.chicagoparkdistrict.com/parks/Dunbar-Park/,Douglas,Yes,PG,"300 E. 31st St. Chicago IL 60616
Chicago, IL 60616
(41.83839417, -87.62062836)"
Night Out: Movies in the Parks at Kedvale,Maleficent,Kedvale Park,60651.0,2015-06-16T20:30:00.000,2015-06-16T22:07:00.000,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Kedvale2/,http://www.chicagoparkdistrict.com/parks/Kedvale-Park/,Humboldt Park,Yes,PG,"4134 W. Hirsch St. Chicago IL 60651
Chicago, IL 60651
(41.90628052, -87.73006439)"
Night Out: Movies in the Parks at Chicago History,Wayne's World,Lincoln Park,60614.0,2015-07-21T20:30:00.000,2015-07-21T22:04:00.000,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Chicago-History5/,http://www.chicagoparkdistrict.com/parks/lincoln-park/,Lincoln Park,No,PG-13,"2045 N Lincoln Park West Chicago IL 60614
Chicago, IL 60614
(41.928495, -87.636008)"
Night Out: Movies in the Parks at Loyola,A Latino Film Festival Selection,Loyola Park,60626.0,2015-08-05T20:00:00.000,2015-08-05T22:00:00.000,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Loyola5/,http://www.chicagoparkdistrict.com/parks/Loyola-Park/,"Rogers Park, Grand Boulevard",Yes,NR,"1230 W. Greenleaf Ave. Chicago IL 60626
Chicago, IL 60626
(42.01041412, -87.66117859)"
Night Out: Movies in the Parks at Haas,Strange Magic,Haas Park,60647.0,2015-07-21T20:15:00.000,2015-07-21T22:00:00.000,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Haas2/,http://www.chicagoparkdistrict.com/parks/Haas-Park/,Logan Square,,PG,"2402 N. Washtenaw Ave. Chicago IL 60647
Chicago, IL 60647
(41.92525609, -87.6952435)"
Night Out: Movies in the Parks at Pulaski,The Lego Movie,Pulaski Park,60642.0,2015-07-25T20:30:00.000,2015-07-25T22:10:00.000,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Pulaski2/,http://www.chicagoparkdistrict.com/parks/Pulaski-Park/,West Town,Yes,PG,"1419 W. Blackhawk St. Chicago IL 60642
Chicago, IL 60642
(41.90703583, -87.66342163)"
Night Out: Movies in the Parks at Garfield Conserv,Ferngully: The Last Rainforest,Garfield Park Conservatory,60624.0,2015-09-02T20:00:00.000,2015-09-02T21:12:00.000,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Garfield-Conserv1/,http://www.chicagoparkdistrict.com/parks/garfield-park-conservatory/,East Garfield Park,Yes,G,"300 N Central Park Ave Chicago, IL 60624
Chicago, IL 60624
(41.88751984, -87.71611023)"
Night Out: Movies in the Parks at Edgebrook,The Goonies,Edgebrook Park,60646.0,2015-08-08T20:00:00.000,2015-08-08T21:54:00.000,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Edgebrook/,http://www.chicagoparkdistrict.com/parks/Edgebrook-Park/,Forest Glen,Yes,PG,"6525 N. Hiawatha Ave. Chicago IL 60646
Chicago, IL 60646
(41.99946594, -87.76202393)"
Night Out: Movies in the Parks at DuSable Museum,Annie (2014),Washington Park,60637.0,2015-06-20T20:30:00.000,2015-06-20T22:28:00.000,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-DuSable-Museum4/,http://www.chicagoparkdistrict.com/parks/washington-park/,Washington Park,Yes,PG,"5531 S. Martin Luther King Dr. Chicago, IL 60637
Chicago, IL 60637
(41.79378891, -87.61591339)"
Night Out: Movies in the Parks at Broncho Billy,Space Jam,Broncho Billy Playlot Park,60640.0,2015-06-04T20:30:00.000,2015-06-04T22:00:00.000,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Broncho-Billy/,http://www.chicagoparkdistrict.com/parks/Broncho-Billy-Playlot-Park/,Uptown,,PG,"4437 N Magnolia Ave Chicago, IL 60640
Chicago, IL 60640
(41.96285248, -87.66093445)"
Night Out: Movies in the Parks at Berger,Who Framed Roger Rabbit,Berger Park Cultural Center,60660.0,2015-08-29T20:00:00.000,2015-08-29T21:44:00.000,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Berger2/,http://www.chicagoparkdistrict.com/parks/Berger-Park-Cultural-Center/,Edgewater,Yes,PG,"6205 N Sheridan Rd Chicago, IL 60660
Chicago, IL 60660
(41.99475861, -87.65554047)"
Night Out: Movies in the Parks at Independence,Grease [sing-a-long],Independence Park,60618.0,2015-08-14T20:00:00.000,2015-08-14T22:00:00.000,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Independence3/,http://www.chicagoparkdistrict.com/parks/Independence-Park/,Irving Park,,PG-13,"3945 N. Springfield Ave. Chicago IL 60618
Chicago, IL 60618
(41.95268631, -87.72504425)"
Night Out: Movies in the Parks at Emmerson,Dolphin Tale 2,Emmerson Park,60660.0,2015-07-25T20:30:00.000,2015-07-25T22:17:00.000,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Emmerson2/,http://www.chicagoparkdistrict.com/parks/Emmerson-Park/,West Ridge,Yes,PG,"1820 W. Granville Ave. Chicago IL 60660
Chicago, IL 60660
(41.99436951, -87.67577362)"
Night Out: Movies in the Parks at Austin Town Hall,42,Austin Town Hall Park,60644.0,2015-08-06T20:00:00.000,2015-08-06T22:08:00.000,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Austin-Town-Hall2/,http://www.chicagoparkdistrict.com/parks/Austin-Town-Hall-Park/,Austin,Yes,PG-13,"5610 W Lake St Chicago, IL 60644
Chicago, IL 60644
(41.88805771, -87.76578522)"
Night Out: Movies in the Parks at Montgomery Ward,Into the Woods,"Ward, A. Montgomery Park",60606.0,2015-06-23T20:30:00.000,2015-06-23T22:35:00.000,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Montgomery-Ward15/,http://www.chicagoparkdistrict.com/parks/Ward-A-Montgomery-Park/,Near North Side,Yes,PG,"630 N. Kingsbury St. Chicago IL 60606
Chicago, IL 60606
(41.89364243, -87.64193726)"
Night Out: Movies in the Parks at Montgomery Ward,Unbroken,"Ward, A. Montgomery Park",60606.0,2015-06-16T20:30:00.000,2015-06-16T22:47:00.000,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Montgomery-Ward14/,http://www.chicagoparkdistrict.com/parks/Ward-A-Montgomery-Park/,Near North Side,Yes,PG-13,"630 N. Kingsbury St. Chicago IL 60606
Chicago, IL 60606
(41.89364243, -87.64193726)"
Night Out: Movies in the Parks at Garfield,Ghostbusters,Garfield Park,60624.0,2015-07-31T20:30:00.000,2015-07-31T22:15:00.000,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Garfield1/,http://www.chicagoparkdistrict.com/parks/Garfield-Park/,East Garfield Park,Yes,PG,"100 N Central Park Ave Chicago, IL 60624
Chicago, IL 60624
(41.88142014, -87.71589661)"
Night Out: Movies in the Parks at Holstein,Big Hero 6,Holstein Park,60647.0,2015-08-23T20:00:00.000,2015-08-23T21:42:00.000,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Holstein8/,http://www.chicagoparkdistrict.com/parks/Holstein-Park/,Logan Square,Yes,PG,"2200 N. Oakley Ave. Chicago IL 60647
Chicago, IL 60647
(41.9219017, -87.68556213)"
Night Out: Movies in the Parks at Tuley,Dawn of the Planet of the Apes,Tuley Park,60619.0,2015-08-20T20:00:00.000,2015-08-20T22:10:00.000,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Tuley2/,http://www.chicagoparkdistrict.com/parks/Tuley-Park/,Chatham,Yes,PG-13,"501 E. 90th Pl. Chicago IL 60619
Chicago, IL 60619
(41.73011017, -87.61437988)"
Night Out: Movies in the Parks at Hamilton,Annie (2014),Hamilton Park,60621.0,2015-07-10T20:30:00.000,2015-07-10T22:28:00.000,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Hamilton2/,http://www.chicagoparkdistrict.com/parks/Hamilton-Park/,Englewood,Yes,PG,"513 W. 72nd St. Chicago IL 60621
Chicago, IL 60621
(41.76344299, -87.63769531)"
Night Out: Movies in the Parks at Webster,The Princess Bride,Daniel Webster Park,60605.0,2015-08-11T20:00:00.000,2015-08-11T21:38:00.000,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Webster3/,http://www.chicagoparkdistrict.com/parks/daniel-webster-park/,Near South Side,Yes,PG,"1401 S Indiana Ave Chicago, IL 60605
Chicago, IL 60605
(41.86395645, -87.62201691)"
Night Out: Movies in the Parks at Mayfair,The Princess Bride,Mayfair Park,60630.0,2015-06-26T20:30:00.000,2015-06-26T22:30:00.000,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Mayfair/,http://www.chicagoparkdistrict.com/parks/Mayfair-Park/,Irving Park,,PG,"4550 W. Sunnyside Ave. Chicago IL 60630
Chicago, IL 60630
(41.96262741, -87.74201202)"
Night Out: Movies in the Parks at Kilbourn,Finding Nemo,Kilbourn Park,60641.0,2015-08-25T20:30:00.000,2015-08-25T22:17:00.000,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Kilbourn4/,http://www.chicagoparkdistrict.com/parks/Kilbourn-Park/,Irving Park,,G,"3501 N. Kilbourn Ave. Chicago IL 60641
Chicago, IL 60641
(41.94442749, -87.73962402)"
